,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:13:56.450,00:16:24.380,7.0,0.05
1,,00:18:28.860,00:18:50.490,0.0,0.00
2,,00:24:22.530,00:26:40.670,6.3,0.05
3,,01:50:10.990,01:51:15.930,6.2,0.10
4,,01:53:22.090,01:54:19.750,0.3,0.01
5,,02:00:21.520,02:00:49.660,7.0,0.25
6,,02:02:50.110,02:03:09.070,2.6,0.14
7,,02:06:27.430,02:08:20.470,3.1,0.03
8,,02:10:38.910,02:11:58.710,0.0,0.00
9,,02:14:36.390,02:15:51.310,1.7,0.02
10,,02:17:56.540,02:20:52.270,22.4,0.13
11,,02:21:52.850,02:21:56.830,0.0,0.00
12,,02:29:58.850,02:32:07.210,23.2,0.18
13,,02:33:29.480,02:34:17.660,3.5,0.07
14,,02:39:55.170,02:40:12.970,1.0,0.06
15,,05:17:16.000,05:17:23.820,0.0,0.00
16,,05:21:49.640,05:22:23.180,0.0,0.00
17,,05:24:55.170,05:25:00.130,0.0,0.00
18,yes,07:11:59.780,07:12:57.560,0.0,0.00
19,yes,07:16:57.260,07:17:25.890,0.7,0.02
20,yes,07:18:41.250,07:18:48.960,0.0,0.00
21,yes,07:19:50.060,07:19:59.300,0.0,0.00
22,yes,07:24:02.130,07:25:36.110,7.5,0.08
23,yes,10:52:07.950,10:52:18.140,0.6,0.06
24,yes,10:53:37.250,10:54:53.700,4.0,0.05
25,yes,11:19:04.920,11:20:26.300,2.8,0.03
26,no,11:22:11.150,11:22:14.630,0.0,0.00
27,no,11:45:44.490,11:46:22.180,0.6,0.02
28,yes,11:47:30.260,11:49:05.070,5.3,0.06
29,yes,12:43:08.650,12:43:17.240,0.0,0.00
30,yes,12:44:22.240,12:44:35.990,0.0,0.00
