,Category,Duration,Density,Max Duration,Mean Duration
0,yes,88.7,0.23,7.4,1.6
1,yes,95.6,0.43,9.0,1.9
2,yes,1.4,0.41,0.8,0.7
3,yes,2.6,0.06,0.8,0.5
4,yes,13.5,0.09,2.6,1.0
5,yes,0.9,0.05,0.5,0.3
6,no,1.1,0.03,0.6,0.3
7,yes,35.3,0.43,12.4,2.5
8,yes,13.5,0.15,6.6,2.2
9,yes,1.8,0.11,0.8,0.6
10,yes,4.7,0.14,1.7,0.7
11,yes,3.8,0.51,1.7,0.9
12,yes,16.7,0.62,7.6,2.3
13,yes,18.8,0.24,6.0,1.8
14,yes,2.1,0.04,1.8,1.0
15,yes,2.0,0.07,1.9,1.0
16,yes,1.3,0.17,0.9,0.6
17,yes,1.0,0.11,0.4,0.3
18,yes,8.0,0.09,2.0,1.1
19,yes,0.9,0.09,0.6,0.4
20,yes,3.9,0.05,2.3,0.9
21,yes,4.4,0.05,2.7,0.7
22,no,0.5,0.14,0.3,0.2
23,no,7.2,0.19,3.1,1.4
24,yes,4.7,0.05,1.6,0.7
25,yes,8.1,0.94,7.6,4.0
26,yes,4.4,0.32,3.1,1.4
27,yes,22.7,0.12,3.3,1.4
28,yes,6.3,0.32,3.1,1.5
29,yes,8.0,0.29,2.4,1.3
30,yes,0.6,0.19,0.5,0.3
31,yes,0.2,0.05,0.2,0.2
32,yes,7.5,0.25,2.6,1.5
33,no,3.4,0.05,2.7,1.1
34,no,0.8,0.42,0.5,0.4
35,yes,1.8,0.03,1.0,0.6
36,yes,82.7,0.35,12.8,3.0
37,yes,27.1,0.31,8.2,1.5
38,no,3.7,0.07,1.6,1.2
39,no,0.7,0.06,0.5,0.3
40,no,1.3,0.16,0.7,0.6
41,yes,11.2,0.08,3.3,1.4
42,yes,8.4,0.11,3.4,1.4
43,yes,14.2,0.07,3.0,1.1
44,no,3.2,0.33,1.1,0.8
45,yes,23.4,0.13,3.5,1.1
46,yes,7.1,0.09,2.2,1.1
47,yes,1.9,0.03,1.0,0.6
48,no,1.1,0.02,0.8,0.5
49,no,1.0,0.03,1.0,1.0
50,no,2.3,0.07,0.9,0.7
51,no,1.8,0.03,1.3,0.9
52,yes,5.3,0.07,1.1,0.8
53,yes,15.7,0.24,3.7,1.5
54,yes,2.4,0.66,1.7,1.2
55,no,1.1,0.04,0.6,0.5
56,yes,30.7,0.51,7.9,1.7
57,yes,1.2,0.05,0.8,0.6
58,yes,55.7,0.3,4.0,1.7
59,yes,20.4,0.51,6.2,2.5
60,yes,39.7,0.41,9.2,1.8
61,yes,4.0,0.12,1.0,0.8
62,yes,4.8,0.14,1.8,0.6
63,yes,31.6,0.3,4.9,1.7
64,yes,15.2,0.27,2.4,1.1
65,yes,37.4,0.3,5.4,2.0
66,no,0.1,0.04,0.1,0.1
67,yes,1.3,0.73,1.3,1.3
68,yes,74.0,0.17,23.3,1.6
69,yes,71.5,0.31,15.6,1.7
70,yes,5.6,0.1,2.5,1.4
71,yes,5.9,0.19,2.5,1.1
72,no,0.8,0.02,0.8,0.8
73,no,0.7,0.02,0.5,0.3
74,yes,13.0,0.11,3.1,1.0
75,yes,2.5,0.05,1.9,0.8
76,yes,49.0,0.26,7.6,1.3
77,yes,7.9,0.24,2.6,0.9
78,yes,8.1,0.21,4.2,1.1
79,no,0.9,0.23,0.8,0.4
80,no,1.3,0.04,1.1,0.6
81,no,1.0,0.03,0.6,0.5
82,yes,5.0,0.06,2.3,0.7
83,yes,0.7,0.03,0.4,0.3
84,yes,5.5,0.06,2.8,0.9
85,yes,21.7,0.39,4.9,1.4
86,yes,9.7,0.17,4.4,1.3
87,yes,57.9,0.28,17.6,2.3
88,no,1.1,0.09,0.8,0.5
89,yes,15.4,0.18,5.2,1.2
90,no,1.5,0.16,0.7,0.5
91,no,3.7,0.49,3.0,1.8
92,yes,55.7,0.39,11.2,3.0
93,yes,6.7,0.14,2.3,1.1
94,yes,4.4,0.05,2.4,1.4
95,no,46.3,0.2,7.4,1.5
96,yes,39.0,0.31,8.8,1.8
97,no,2.0,0.74,1.7,1.0
98,no,4.5,0.07,1.3,0.7
99,no,2.7,0.02,0.8,0.5
100,no,1.7,0.04,0.7,0.5
101,yes,13.0,0.43,3.8,1.8
102,yes,2.1,0.73,1.4,1.0
103,no,1.1,0.04,1.1,1.1
104,no,2.9,0.04,0.7,0.4
105,yes,25.6,0.18,4.4,1.5
106,yes,1.4,0.73,0.9,0.7
107,no,2.1,0.17,1.8,1.0
108,no,0.7,0.02,0.7,0.7
109,yes,14.9,0.21,5.4,1.8
110,yes,1.1,0.04,1.1,1.1
111,no,0.3,0.01,0.3,0.3
112,yes,45.9,0.32,11.1,4.5
113,yes,22.3,0.58,6.6,3.1
114,yes,179.5,0.45,16.4,3.4
115,yes,3.0,0.04,1.9,0.6
116,yes,5.6,0.09,2.2,1.1
117,yes,38.8,0.19,7.1,1.7
118,no,1.5,1.03,1.1,0.7
119,yes,42.4,0.38,11.1,2.8
120,no,2.0,0.04,0.8,0.6
121,no,1.4,0.02,0.7,0.7
122,no,2.8,0.16,1.2,0.9
123,no,6.0,0.04,2.5,1.0
124,no,19.9,0.08,2.6,1.4
125,yes,2.9,0.04,0.9,0.7
126,no,1.0,0.19,0.7,0.5
127,no,1.9,0.04,1.2,0.9
128,no,0.7,0.03,0.7,0.7
129,yes,27.0,0.28,10.2,2.4
130,yes,2.0,0.1,0.7,0.5
131,yes,2.6,0.1,1.5,0.8
132,no,0.2,0.02,0.2,0.2
